position (x) [m],position (y) [m],position (z) [m],velocity (x) [m/s],velocity (y) [m/s],velocity (z) [m/s],time
0.0,0.0,0.0,0.0,0.0,0.0,11.84
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.844
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.847999999999999
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.851999999999999
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.855999999999998
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.859999999999998
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.863999999999997
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.867999999999997
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.871999999999996
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.875999999999996
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.879999999999995
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.883999999999995
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.887999999999995
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.891999999999994
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.895999999999994
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.899999999999993
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.903999999999993
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.907999999999992
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.911999999999992
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.915999999999991
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.919999999999991
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.92399999999999
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.92799999999999
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.93199999999999
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.93599999999999
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.939999999999989
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.943999999999988
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.947999999999988
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.951999999999988
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.955999999999987
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.959999999999987
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.963999999999986
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.967999999999986
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.971999999999985
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.975999999999985
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.979999999999984
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.983999999999984
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.987999999999984
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.991999999999983
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.995999999999983
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,11.999999999999982
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.003999999999982
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.007999999999981
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.011999999999981
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.01599999999998
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.01999999999998
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.02399999999998
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.02799999999998
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.031999999999979
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.035999999999978
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.039999999999978
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.043999999999977
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.047999999999977
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.051999999999977
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.055999999999976
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.059999999999976
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.063999999999975
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.067999999999975
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.071999999999974
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.075999999999974
0.0,0.0,0.1307538002729416,0.0,0.0,0.0,12.079999999999973
