accelerometer (x),accelerometer (y),accelerometer (z),magnetometer (x),magnetometer (y),magnetometer (z)
-0.00022224817,0.0025537452,-9.800523,-0.009684957,-0.21615872,0.42932203
-0.00022224817,0.0025537452,-9.800523,-0.009684957,-0.21615872,0.42932203
-0.007380635477602482,0.0011772095458582044,-9.783515930175781,-0.00971316546201706,-0.21628093719482422,0.429330050945282
-0.007380635477602482,0.0011772095458582044,-9.783515930175781,-0.00971316546201706,-0.21628093719482422,0.429330050945282
-0.007015798344218637,0.0014940323017071933,-9.784371328353881,-0.00963676068931818,-0.21613462269306183,0.4293687641620636
-0.007015798344218637,0.0014940323017071933,-9.784371328353881,-0.00963676068931818,-0.21613462269306183,0.4293687641620636
-0.006939617526149959,0.0010592757913400418,-9.785503771305084,-0.009750789031386375,-0.21605567634105682,0.42938074469566345
-0.006939617526149959,0.0010592757913400418,-9.785503771305084,-0.009750789031386375,-0.21605567634105682,0.42938074469566345
-0.006447674509949138,0.0013771167577215236,-9.786226875662802,-0.009643579833209515,-0.21616986393928528,0.4291633665561676
-0.006447674509949138,0.0013771167577215236,-9.786226875662802,-0.009643579833209515,-0.21616986393928528,0.4291633665561676
-0.005746446293245572,0.0014789751650132526,-9.78700079990029,-0.0098319873213768,-0.21619337797164917,0.42919260263442993
-0.005746446293245572,0.0014789751650132526,-9.78700079990029,-0.0098319873213768,-0.21619337797164917,0.42919260263442993
-0.005822669144911843,0.002003763538566818,-9.787571900576053,-0.009649739600718021,-0.2160719335079193,0.42944204807281494
-0.005822669144911843,0.002003763538566818,-9.787571900576053,-0.009649739600718021,-0.2160719335079193,0.42944204807281494
-0.0060432187456599005,0.0022390883005477093,-9.788396209294808,-0.0096104945987463,-0.21610626578330994,0.4292488694190979
-0.0060432187456599005,0.0022390883005477093,-9.788396209294808,-0.0096104945987463,-0.21610626578330994,0.4292488694190979
-0.005252490409515855,0.002405983994836732,-9.788529182796132,-0.009700239636003971,-0.2160993069410324,0.4292793273925781
-0.005252490409515855,0.002405983994836732,-9.788529182796132,-0.009700239636003971,-0.2160993069410324,0.4292793273925781
-0.0050045820604667605,0.0021018423242254733,-9.788786542473463,-0.00956957321614027,-0.21619930863380432,0.4294334948062897
-0.0050045820604667605,0.0021018423242254733,-9.788786542473463,-0.00956957321614027,-0.21619930863380432,0.4294334948062897
-0.0039527863417427,0.0018279708553343508,-9.788910298998472,-0.009678548201918602,-0.21617648005485535,0.4294727146625519
-0.0039527863417427,0.0018279708553343508,-9.788910298998472,-0.009678548201918602,-0.21617648005485535,0.4294727146625519
-0.003349249126056059,0.0015986666757653175,-9.789094911001673,-0.009727434255182743,-0.216170534491539,0.42935711145401
-0.003349249126056059,0.0015986666757653175,-9.789094911001673,-0.009727434255182743,-0.216170534491539,0.42935711145401
-0.0031264992289801565,0.0012234767980725085,-9.78948958981377,-0.009771398268640041,-0.21595530211925507,0.429416298866272
-0.0031264992289801565,0.0012234767980725085,-9.78948958981377,-0.009771398268640041,-0.21595530211925507,0.429416298866272
-0.003477252028525583,0.0010223460601129124,-9.789912075349937,-0.009769342839717865,-0.21610376238822937,0.42931067943573
-0.003477252028525583,0.0010223460601129124,-9.789912075349937,-0.009769342839717865,-0.21610376238822937,0.42931067943573
-0.0027971385408527417,0.0004678710244387477,-9.790534641366985,-0.009712382219731808,-0.2161424458026886,0.4293590784072876
-0.0027971385408527417,0.0004678710244387477,-9.790534641366985,-0.009712382219731808,-0.2161424458026886,0.4293590784072876
-0.0035273380641770782,0.0006409207152377153,-9.791211623669362,-0.009466508403420448,-0.2160498946905136,0.4292742908000946
-0.0035273380641770782,0.0006409207152377153,-9.791211623669362,-0.009466508403420448,-0.2160498946905136,0.4292742908000946
-0.004308811283250729,6.005401623229722e-05,-9.79141120293206,-0.009820764884352684,-0.21603068709373474,0.4292623698711395
-0.004308811283250729,6.005401623229722e-05,-9.79141120293206,-0.009820764884352684,-0.21603068709373474,0.4292623698711395
-0.004045506230645764,-0.00041904227483886966,-9.791805795525935,-0.009753716178238392,-0.21614599227905273,0.42914408445358276
-0.004045506230645764,-0.00041904227483886966,-9.791805795525935,-0.009753716178238392,-0.21614599227905273,0.42914408445358276
-0.0037701481158305887,0.0002473574078710123,-9.792240835339483,-0.009663484059274197,-0.2160332351922989,0.4292098581790924
-0.0037701481158305887,0.0002473574078710123,-9.792240835339483,-0.009663484059274197,-0.2160332351922989,0.4292098581790924
-0.0037570947817619836,-0.00044984897170964063,-9.792385043953978,-0.009693588130176067,-0.21624739468097687,0.42921116948127747
-0.0037570947817619836,-0.00044984897170964063,-9.792385043953978,-0.009693588130176067,-0.21624739468097687,0.42921116948127747
-0.0033412948611327396,-0.00014601917717385312,-9.793014614922173,-0.009575236588716507,-0.21610422432422638,0.4292617738246918
-0.0033412948611327396,-0.00014601917717385312,-9.793014614922173,-0.009575236588716507,-0.21610422432422638,0.4292617738246918
-0.002408716023693578,-0.00025002028816915173,-9.79344633885746,-0.009750032797455788,-0.21600373089313507,0.42927053570747375
-0.002408716023693578,-0.00025002028816915173,-9.79344633885746,-0.009750032797455788,-0.21600373089313507,0.42927053570747375
-0.002505543436799041,-0.0007730935031948268,-9.793594168475256,-0.009453359991312027,-0.21624840795993805,0.42913195490837097
-0.002505543436799041,-0.0007730935031948268,-9.793594168475256,-0.009453359991312027,-0.21624840795993805,0.42913195490837097
-0.002037382978892736,-0.00030158566015848413,-9.793410881865457,-0.009662346914410591,-0.21621620655059814,0.42939552664756775
-0.002037382978892736,-0.00030158566015848413,-9.793410881865457,-0.009662346914410591,-0.21621620655059814,0.42939552664756775
-0.002547279559211524,3.08078201587553e-05,-9.793154028339199,-0.009726079180836678,-0.21614985167980194,0.4293176233768463
-0.002547279559211524,3.08078201587553e-05,-9.793154028339199,-0.009726079180836678,-0.21614985167980194,0.4293176233768463
-0.002610097460111987,-0.0005578191832078718,-9.79343749475366,-0.009799073450267315,-0.2161990851163864,0.4293544888496399
-0.002610097460111987,-0.0005578191832078718,-9.79343749475366,-0.009799073450267315,-0.2161990851163864,0.4293544888496399
-0.003109623321570914,-0.0006495386225896142,-9.794146622442124,-0.009763340465724468,-0.21607109904289246,0.42935553193092346
-0.003109623321570914,-0.0006495386225896142,-9.794146622442124,-0.009763340465724468,-0.21607109904289246,0.42935553193092346
-0.0024364470377505453,-0.0006489566316445627,-9.794284424147776,-0.009753113612532616,-0.21603083610534668,0.4292733669281006
-0.0024364470377505453,-0.0006489566316445627,-9.794284424147776,-0.009753113612532616,-0.21603083610534668,0.4292733669281006
-0.005957878504017353,-0.005227299112352526,-9.803761248701495,-0.009422047063708305,-0.21849596500396729,0.4280703067779541
-0.005957878504017353,-0.005227299112352526,-9.803761248701495,-0.009422047063708305,-0.21849596500396729,0.4280703067779541
-0.004590347283957791,-0.004654873301569776,-9.84504291282892,-0.012232123874127865,-0.20973671972751617,0.43214112520217896
-0.004590347283957791,-0.004654873301569776,-9.84504291282892,-0.012232123874127865,-0.20973671972751617,0.43214112520217896
-0.004503602438789578,-0.003797507976973998,-9.850999528402683,-0.010040218941867352,-0.21168150007724762,0.43158161640167236
-0.004503602438789578,-0.003797507976973998,-9.850999528402683,-0.010040218941867352,-0.21168150007724762,0.43158161640167236
-0.004158466048386815,-0.0036661598573048413,-9.853645179195073,-0.009442212991416454,-0.2174895852804184,0.428733766078949
-0.004158466048386815,-0.0036661598573048413,-9.853645179195073,-0.009442212991416454,-0.2174895852804184,0.428733766078949
-0.0043643026369112395,-0.0036190995607945846,-9.855174355553313,-0.013471653684973717,-0.2165088802576065,0.4291495978832245
-0.0043643026369112395,-0.0036190995607945846,-9.855174355553313,-0.013471653684973717,-0.2165088802576065,0.4291495978832245
-0.004523376501307664,-0.004001183282083754,-9.849067439838635,-0.00852142833173275,-0.21767295897006989,0.4286091923713684
-0.004523376501307664,-0.004001183282083754,-9.849067439838635,-0.00852142833173275,-0.21767295897006989,0.4286091923713684
-0.004480451888772833,-0.0034098158066065707,-9.848833182150292,-0.010003404691815376,-0.21600912511348724,0.4292106330394745
-0.004480451888772833,-0.0034098158066065707,-9.848833182150292,-0.010003404691815376,-0.21600912511348724,0.4292106330394745
-0.004225424631592285,-0.0033610123223674314,-9.847871873537162,-0.011656351387500763,-0.21462267637252808,0.42999935150146484
-0.004225424631592285,-0.0033610123223674314,-9.847871873537162,-0.011656351387500763,-0.21462267637252808,0.42999935150146484
-0.00429419860573989,-0.0027235740576218976,-9.843931048186109,-0.01279574353247881,-0.21573036909103394,0.42959004640579224
-0.00429419860573989,-0.0027235740576218976,-9.843931048186109,-0.01279574353247881,-0.21573036909103394,0.42959004640579224
