position (x) [m],position (y) [m],position (z) [m],velocity (x) [m/s],velocity (y) [m/s],velocity (z) [m/s],time
0.0,0.0,0.0,0.0,0.0,0.0,11.379999999999999
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.383999999999999
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.387999999999998
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.391999999999998
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.395999999999997
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.399999999999997
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.403999999999996
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.407999999999996
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.411999999999995
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.415999999999995
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.419999999999995
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.423999999999994
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.427999999999994
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.431999999999993
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.435999999999993
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.439999999999992
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.443999999999992
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.447999999999992
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.451999999999991
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.45599999999999
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.45999999999999
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.46399999999999
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.46799999999999
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.471999999999989
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.475999999999988
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.479999999999988
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.483999999999988
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.487999999999987
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.491999999999987
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.495999999999986
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.499999999999986
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.503999999999985
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.507999999999985
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.511999999999984
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.515999999999984
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.519999999999984
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.523999999999983
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.527999999999983
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.531999999999982
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.535999999999982
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.539999999999981
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.543999999999981
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.54799999999998
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.55199999999998
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.55599999999998
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.55999999999998
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.563999999999979
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.567999999999978
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.571999999999978
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.575999999999977
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.579999999999977
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.583999999999977
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.587999999999976
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.591999999999976
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.595999999999975
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.599999999999975
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.603999999999974
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.607999999999974
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.611999999999973
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.615999999999973
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.619999999999973
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.623999999999972
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.627999999999972
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.631999999999971
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.63599999999997
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.63999999999997
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.64399999999997
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.64799999999997
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.651999999999969
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.655999999999969
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.659999999999968
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.663999999999968
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.667999999999967
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.671999999999967
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.675999999999966
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.679999999999966
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.683999999999966
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.687999999999965
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.691999999999965
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.695999999999964
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.699999999999964
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.703999999999963
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.707999999999963
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.711999999999962
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.715999999999962
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.719999999999962
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.723999999999961
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.72799999999996
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.73199999999996
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.73599999999996
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.73999999999996
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.743999999999959
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.747999999999958
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.751999999999958
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.755999999999958
0.0,0.0,-0.40411388874053955,0.0,0.0,0.0,11.759999999999957
