accelerometer (x),accelerometer (y),accelerometer (z)
-0.014987603376562292,-0.05583276477634408,-9.806401319604664
-0.014872321169157451,-0.055399286279882866,-9.806034958935316
-0.014904071154717435,-0.05537360440145713,-9.80610115222025
-0.01493960226068754,-0.0553496489688384,-9.805872144328548
-0.014963543213357135,-0.05534042439530106,-9.806396551752382
-0.014925476677323489,-0.05534289593699687,-9.80681253775146
-0.014828955881356257,-0.05538193554481946,-9.806367623545407
-0.014753591222411362,-0.05540140677584282,-9.806285632614205
-0.0146628524970313,-0.05542236932369213,-9.806654917863527
-0.014637362859540889,-0.055428010009920786,-9.806819141805935
-0.014701439950987471,-0.05545353744463546,-9.807287187189552
-0.014773506521168872,-0.05548791749274788,-9.807431004176163
-0.014778282298265586,-0.05550603810813127,-9.807633014079592
-0.01476080911478152,-0.05557574035155213,-9.807992778620118
-0.014761774187530505,-0.055664701878161846,-9.807677223444873
-0.014752224533054206,-0.05572101013902853,-9.807290894533004
-0.014787493006696345,-0.05570311385317236,-9.80711638576818
-0.014791298449284774,-0.05568301741077854,-9.80641354006856
-0.014752413917799266,-0.055747611442271965,-9.806071849605404
-0.014796306519038753,-0.05580820930537925,-9.806297432131435
-0.014789378939861063,-0.05583598953596723,-9.806548903060138
-0.014753637501528923,-0.055845637094883646,-9.8074139979531
-0.014802304343423995,-0.05582506205359045,-9.808722254072096
-0.014818484496753747,-0.055819563674546824,-9.80933682599765
-0.0148289478632952,-0.0558502517581397,-9.809174684993344
-0.014881555988889314,-0.05586894273916975,-9.80872072128527
-0.01488173966366188,-0.055849863585914115,-9.808465504778082
-0.014804444823270589,-0.05589775902491221,-9.80795438063084
-0.014806056350439285,-0.05593474331832722,-9.806831851350715
-0.01482902401354889,-0.05591423629078693,-9.80632416136335
-0.01477331059009145,-0.05594928685744496,-9.806955859606898
-0.01479961511206634,-0.055947719652758965,-9.807597058009002
-0.014873780969231198,-0.055848723131332656,-9.807504371098483
-0.0149633331974987,-0.055772793502246065,-9.80693057354552
-0.015034362220946687,-0.05579977323713737,-9.806577806260549
-0.015018354802073936,-0.055814614697812084,-9.807085053252901
-0.015061021430298171,-0.05586508371827295,-9.80706435691809
-0.015111262011949655,-0.056010647155973495,-9.80664289818551
-0.015110248499825786,-0.056089764811348766,-9.80652355694484
-0.015079510284069219,-0.05606429259526166,-9.806155415270132
-0.015074008292210108,-0.05602454382421532,-9.80607738366133
-0.015108148387709743,-0.0560204826256587,-9.806298788819367
-0.015094731421220394,-0.05600754499796474,-9.806516745478202
-0.01508252620186767,-0.05602468107700158,-9.80671624433126
-0.01507779139333961,-0.05603830406083873,-9.806272757868104
-0.015056265546241974,-0.05601451246812014,-9.805860268610834
-0.014991109110366285,-0.05601928798492082,-9.806011641804682
-0.014935062659483621,-0.056023057490130014,-9.80611678789643
-0.014904335511226907,-0.05600034532710348,-9.805602116858251
-0.014894502352326573,-0.05594556209332536,-9.805150547750552
-0.014936856815708643,-0.0558818530178857,-9.804945074732089
-0.014893856349684832,-0.055918937176508136,-9.804940011991546
-0.01480953139576272,-0.05592062006149889,-9.805939293110507
-0.014764385438465338,-0.05590597653594274,-9.806600227538471
-0.014786902749377717,-0.05600405835176102,-9.806761242077105
-0.01486629131262486,-0.0561291067752634,-9.806236961894053
-0.014888208492316157,-0.056114488759523684,-9.806319480609433
-0.014913579282542245,-0.056028522046602955,-9.807147722367827
-0.014931300974444919,-0.05606178855873666,-9.806841618649111
-0.014884745506163248,-0.056076496646481226,-9.806588727383565
-0.014862969509947945,-0.05601906913779248,-9.806030009521917
-0.014873492281652256,-0.05599158244211921,-9.805349970758446
-0.014897227459059751,-0.055965491217977344,-9.806014524311264
-0.014893071253401568,-0.05592294411289739,-9.80699161268214
-0.014855800958036885,-0.05589394961956905,-9.807169278653916
-0.014854444963379612,-0.05584576154214271,-9.807270431690625
-0.014845469483353168,-0.055831601882651516,-9.806979618227373
-0.014788628645595209,-0.05589500123811594,-9.806144632478857
-0.014815306147016816,-0.05592925129093034,-9.805687735301527
-0.014866756859200154,-0.055884207089540665,-9.806020298441297
-0.014902422745425685,-0.05584514370987746,-9.806455217754882
-0.01496090944380084,-0.05581423700219029,-9.806939151545802
-0.014925643925496083,-0.05580346874656257,-9.80727131366173
-0.014879292493320366,-0.05581082662035383,-9.80739506959414
-0.014869121755465162,-0.055842556270345685,-9.80817955326583
-0.014887619145066786,-0.05588036204155365,-9.808670821114298
-0.014896079192387795,-0.055863630478862114,-9.80847953169696
-0.014872133936787107,-0.05582290843201713,-9.807585535131269
-0.01488336670944235,-0.055843102601888836,-9.807396439625954
-0.014934272397941846,-0.05590876953407708,-9.80825917832327
-0.015009620148532226,-0.055938203498110545,-9.808279284050514
-0.015018376025067476,-0.0559241170518016,-9.808137066552446
-0.014946593234322111,-0.0558689104526332,-9.807924384524886
-0.014892492787155334,-0.05580235160529615,-9.807051284298717
-0.014898383026472424,-0.05572532218713165,-9.80644430802949
-0.014873810183108028,-0.05566074166196997,-9.80688403326292
-0.014785604188294882,-0.055717315575613886,-9.808227738243513
-0.01476069438641981,-0.05578231078944899,-9.809109008761205
-0.014735591835194415,-0.055806307245658576,-9.809238394902907
-0.01464646267452533,-0.05582081421402402,-9.80871492696413
-0.014615550117399375,-0.055792933630401234,-9.80797048276015
-0.014618051804044862,-0.05580827923434953,-9.807514678228031
-0.014599271557598938,-0.05583435519039432,-9.806675109971879
-0.014570674948966435,-0.05584424927845401,-9.805823749639973
-0.014532629741028123,-0.05580818956657901,-9.80546159714912
-0.01455355920083048,-0.05578370029736566,-9.805206517909062
-0.014566799672294206,-0.05578262558737315,-9.805157381773673
-0.014566151471316876,-0.05577714112050661,-9.805767761302606
-0.014601912320570409,-0.05582142613064105,-9.806062090366439
-0.014617284787155287,-0.05587817813519186,-9.806549001904745
-0.014618281339290266,-0.05595682772207171,-9.807037004088539
-0.014591691520348886,-0.05603078022684486,-9.807055826415281
-0.014618524307032766,-0.05609796352619899,-9.807003625121409
-0.014647026475598552,-0.05611228777329746,-9.806838769811417
-0.014629218322080213,-0.05607297275242226,-9.806732457069778
-0.014698262223225254,-0.05611649256188916,-9.806477702726326
-0.014766598884299601,-0.056139410724012594,-9.806285807850422
-0.014794186364953572,-0.056042164020608715,-9.805835011031444
-0.014876582609098559,-0.056044715179346144,-9.805328204416826
-0.014887190904584121,-0.05612952772081764,-9.806010574862594
-0.014844207364100142,-0.05609871251551174,-9.80707369813195
-0.014857519947042212,-0.056102619917553505,-9.807136725505035
-0.014893056547616563,-0.056173561128823185,-9.806905440497257
-0.014905793969844674,-0.05624513835382436,-9.806176959283224
-0.01484257063949083,-0.056296621815018405,-9.805623941547042
-0.014776308715886224,-0.05631778584678573,-9.80536826812598
-0.014711043868080661,-0.056389481274207495,-9.805036309630033
-0.01466562094641698,-0.0564784826273132,-9.805332258287391
-0.014665506351038245,-0.056573843605326066,-9.805940027484288
-0.014662456199391667,-0.056609272810852915,-9.8061862308821
-0.014713601320252165,-0.05661260880977514,-9.806107025060735
-0.014782297022663246,-0.05653136091898974,-9.806338054579808
-0.014827864172257448,-0.056453493610485246,-9.806226881720704
-0.014843266870007405,-0.056465575051018804,-9.805569117407275
-0.014862154199452434,-0.056447608557534334,-9.805620668953901
-0.014908259765340411,-0.05641560330174386,-9.805715035163981
-0.014986019593450613,-0.056380472987296176,-9.805620673981569
