accelerometer (x),accelerometer (y),accelerometer (z),magnetometer (x),magnetometer (y),magnetometer (z)
-0.014987603376562292,-0.05583276477634408,-9.806401319604664,-0.009676915240597113,-0.21614089830815744,0.4292985680486166
-0.014872321169157451,-0.055399286279882866,-9.806034958935316,-0.009699571325950918,-0.21614319082351782,0.42929470395520664
-0.014904071154717435,-0.05537360440145713,-9.80610115222025,-0.009698999735331325,-0.2161366209052705,0.42930272390373353
-0.01493960226068754,-0.0553496489688384,-9.805872144328548,-0.009698485303773692,-0.21613070797884792,0.42930994185740773
-0.014963543213357135,-0.05534042439530106,-9.806396551752382,-0.009692471074033567,-0.21613549231258927,0.42930024939419353
-0.014925476677323489,-0.05534289593699687,-9.80681253775146,-0.009687058267267455,-0.21613979821295648,0.42929152617730076
-0.014828955881356257,-0.05538193554481946,-9.806367623545407,-0.009660367157106319,-0.2161370350559751,0.4292948481727604
-0.014753591222411362,-0.05540140677584282,-9.806285632614205,-0.009636345157961296,-0.21613454821469186,0.4292978379686741
-0.0146628524970313,-0.05542236932369213,-9.806654917863527,-0.009614725358730775,-0.21613231005753697,0.4293005287849964
-0.014637362859540889,-0.055428010009920786,-9.806819141805935,-0.009622650937687955,-0.2161237645371463,0.42929506482518265
-0.014701439950987471,-0.05545353744463546,-9.807287187189552,-0.009629783958749416,-0.21611607356879467,0.4292901472613503
-0.014773506521168872,-0.05548791749274788,-9.807431004176163,-0.009638189723095098,-0.2161249648095371,0.42929158357071484
-0.014778282298265586,-0.05550603810813127,-9.807633014079592,-0.009645754911006213,-0.21613296692620532,0.429292876249143
-0.01476080911478152,-0.05557574035155213,-9.807992778620118,-0.009652563580126216,-0.2161401688312067,0.4292940396597283
-0.014761774187530505,-0.055664701878161846,-9.807677223444873,-0.009668182863221153,-0.21614936404716134,0.429305970537391
-0.014752224533054206,-0.05572101013902853,-9.807290894533004,-0.009682240218006597,-0.21615763974152052,0.42931670832728747
-0.014787493006696345,-0.05570311385317236,-9.80711638576818,-0.009676310368701542,-0.21615355436767975,0.42930906612958375
-0.014791298449284774,-0.05568301741077854,-9.80641354006856,-0.009670973504326991,-0.21614987753122306,0.42930218815165044
-0.014752413917799266,-0.055747611442271965,-9.806071849605404,-0.009666170326389896,-0.21614656837841206,0.42929599797151047
-0.014796306519038753,-0.05580820930537925,-9.806297432131435,-0.00966909893007698,-0.2161364226823479,0.42930867477138246
-0.014789378939861063,-0.05583598953596723,-9.806548903060138,-0.009671734673395356,-0.21612729155589017,0.4293200838912672
-0.014753637501528923,-0.055845637094883646,-9.8074139979531,-0.00968274020264858,-0.216136670323332,0.42932947889111756
-0.014802304343423995,-0.05582506205359045,-9.808722254072096,-0.009692645178976483,-0.21614511121402966,0.4293379343909829
-0.014818484496753747,-0.055819563674546824,-9.80933682599765,-0.009701559657671594,-0.21615270801565753,0.4293455443408617
-0.0148289478632952,-0.0558502517581397,-9.809174684993344,-0.009695801442699322,-0.2161571222083125,0.42934854581593235
-0.014881555988889314,-0.05586894273916975,-9.80872072128527,-0.009690619049224277,-0.216161094981702,0.42935124714349593
-0.01488173966366188,-0.055849863585914115,-9.808465504778082,-0.009694959294277149,-0.21615952510679232,0.42935564529158077
-0.014804444823270589,-0.05589775902491221,-9.80795438063084,-0.009698865514824734,-0.2161581122193736,0.4293596036248571
-0.014806056350439285,-0.05593474331832722,-9.806831851350715,-0.00970238111331756,-0.21615684062069673,0.4293631661248058
-0.01482902401354889,-0.05591423629078693,-9.80632416136335,-0.009682365464401498,-0.21614894744598287,0.4293670667688712
-0.01477331059009145,-0.05594928685744496,-9.806955859606898,-0.009664351380377044,-0.2161418435887404,0.4293705773485301
-0.01479961511206634,-0.055947719652758965,-9.807597058009002,-0.009659101209648576,-0.2161464605852283,0.42935306001895057
-0.014873780969231198,-0.055848723131332656,-9.807504371098483,-0.009654376055992956,-0.2161506158820674,0.429337294422329
-0.0149633331974987,-0.055772793502246065,-9.80693057354552,-0.009650123417702897,-0.21615435564922264,0.42932310538536955
-0.015034362220946687,-0.05579977323713737,-9.806577806260549,-0.009648712825322972,-0.216173793832126,0.4293330177996753
-0.015018354802073936,-0.055814614697812084,-9.807085053252901,-0.009647443292181038,-0.21619128819673905,0.4293419389725505
-0.015061021430298171,-0.05586508371827295,-9.80706435691809,-0.009663106800741264,-0.21617970588537738,0.42934194822318367
-0.015111262011949655,-0.056010647155973495,-9.80664289818551,-0.009677203958445468,-0.21616928180515188,0.4293419565487535
-0.015110248499825786,-0.056089764811348766,-9.80652355694484,-0.009689891400379251,-0.21615990013294892,0.4293419640417664
-0.015079510284069219,-0.05606429259526166,-9.806155415270132,-0.009680343419261852,-0.2161607758141769,0.42933406124911627
-0.015074008292210108,-0.05602454382421532,-9.80607738366133,-0.009671750236256193,-0.21616156392728209,0.42932694873573113
-0.015108148387709743,-0.0560204826256587,-9.806298788819367,-0.009659103086176459,-0.21617133015485035,0.4293050621869719
-0.015094731421220394,-0.05600754499796474,-9.806516745478202,-0.009647720651104698,-0.21618011975966178,0.42928536429308856
-0.01508252620186767,-0.05602468107700158,-9.80671624433126,-0.009637476459540113,-0.2161880304039921,0.4292676361885936
-0.01507779139333961,-0.05603830406083873,-9.806272757868104,-0.009644081720319853,-0.21619047399950675,0.4292544495302979
-0.015056265546241974,-0.05601451246812014,-9.805860268610834,-0.009650026455021618,-0.21619267323546995,0.4292425815378318
-0.014991109110366285,-0.05601928798492082,-9.806011641804682,-0.009658860887137102,-0.21618089579582264,0.429258183012726
-0.014935062659483621,-0.056023057490130014,-9.80611678789643,-0.009666811876041037,-0.21617029610014007,0.4292722243401308
-0.014904335511226907,-0.05600034532710348,-9.805602116858251,-0.00967396776605458,-0.21616075637402576,0.42928486153479506
-0.014894502352326573,-0.05594556209332536,-9.805150547750552,-0.009676636769433119,-0.2161680671792845,0.4292635001390823
-0.014936856815708643,-0.0558818530178857,-9.804945074732089,-0.009679038872473804,-0.21617464690401733,0.4292442748829408
-0.014893856349684832,-0.055918937176508136,-9.804940011991546,-0.009672050800311596,-0.21618789704735203,0.429249183823289
-0.01480953139576272,-0.05592062006149889,-9.805939293110507,-0.00966576153536561,-0.21619982217635325,0.42925360186960243
-0.014764385438465338,-0.05590597653594274,-9.806600227538471,-0.009660101196914222,-0.21621055479245438,0.42925757811128445
-0.014786902749377717,-0.05600405835176102,-9.806761242077105,-0.009666779368444657,-0.21620017059502353,0.42926750164323463
-0.01486629131262486,-0.0561291067752634,-9.806236961894053,-0.009672789722822048,-0.21619082481733576,0.4292764328219898
-0.014888208492316157,-0.056114488759523684,-9.806319480609433,-0.009669593062378709,-0.2161875202453579,0.42928099295184685
