position (x) [m],position (y) [m],position (z) [m],velocity (x) [m/s],velocity (y) [m/s],velocity (z) [m/s],time
0.0,0.0,0.0,0.0,0.0,0.0,35.94
-1.4071592754358616e-05,2.854306225829066e-05,4.7394635797957116e-05,-0.00028143185508717225,0.0005708612451658131,0.0009478927159591422,35.94
786.546555752626,687.4812297149373,-0.10587482181429853,17.63983239871132,17.199640838051806,-0.33922336278566784,36.94
788.3125900384098,689.1960788861991,-0.13935334983556272,17.680853316965013,17.097342587184382,-0.33833574627106267,36.94
1318.426664745441,1149.2902561322928,0.09124529395493308,32.230665633859545,31.253748989772273,0.8223241582198402,37.94
1321.6477268190224,1152.407233751037,0.1743345115572361,32.19057583776681,31.085803385110097,0.8240377617804782,37.94
1639.31313209246,1422.1117015244745,-0.36499510620177444,42.08831143346993,40.94630753550072,1.8491106756648192,38.94
1643.5158639154486,1426.2000463398022,-0.1792425745404953,41.96632502630191,40.82058877105182,1.8507936038544137,38.94
1905.014032860761,1645.9253881366772,-0.3470144998323581,50.037514906673,49.19359749907916,2.9654946088415324,39.94
1910.0104019783478,1650.841039225416,-0.04971231440427182,49.8898674450629,49.11942427569696,2.9670000579293987,39.94
2142.0770523689725,1845.658422037916,-0.20047295855012792,56.25677265746524,56.34309142047235,3.8219387051702407,40.94
2147.6950550409792,1851.290696450585,0.18241474442728062,56.10328078267071,56.302396832910006,3.82332637009101,40.94
2338.4177112909792,2010.748215981835,-0.023975989607809334,60.52095198628399,62.165407239404146,4.548516537947241,41.94
2344.4621109511613,2016.9637371642655,0.43154660567744507,60.367041217360466,62.1450164092019,4.5498584209283015,41.94
2498.1459488417863,2144.6099773986407,0.18247877948491764,63.17188893464562,66.86317131642846,5.234136287709194,42.94
2504.4554877752043,2151.2959287636563,0.706535413791035,63.01888973371869,66.85585598388307,5.235422298779589,42.94
2630.5001655095793,2255.022125052719,-0.03729383529868524,64.76102382795696,70.7877941552698,5.447545105997257,43.94
2636.96863065016,2262.1010132934634,0.5081276618243633,64.60827898364904,70.78997065961991,5.448879079043903,43.94
2724.78064236891,2332.3432007934634,-0.021311585356450946,65.08049272876623,73.73275020063554,6.001909279693358,44.94
2731.2811606156483,2339.716912572698,0.5795385251460602,64.92987220600261,73.74148538406108,6.003227644759709,44.94
2812.8968832718983,2404.6071713617607,-0.0872433668293019,65.17460029438152,76.51621225173686,6.39918237504622,45.94
2819.4068411601443,2412.259466922499,0.5533418772981317,65.0245574705334,76.52969896303016,6.400516388291843,45.94
2890.4098929179568,2467.889349734999,0.16582990663093,64.91036069318965,79.03391801820594,7.092925021254416,46.94
2896.8934760936936,2475.7935556410175,0.8757853623008245,64.76130282154746,79.05020010216548,7.094250928343322,46.94
2973.4830757030686,2536.4532236097675,0.1977881931890254,64.80388247242637,81.69177114708735,7.433863679067606,47.94
2979.9560336198665,2544.6232807480437,0.941824816342249,64.65527586352707,81.70937161843257,7.435164189560533,47.94
3041.7702426042415,2592.1650287949187,-0.1851348234834096,64.35996488940597,84.05077176491695,7.382770061052768,48.952
3048.19887889005,2600.571044266152,0.5537752236842008,64.21276082675963,84.06953765974704,7.384036143177436,48.952
3088.071193343175,2628.678466141152,0.013319846741098207,63.28535451572448,85.89012481795017,8.035132796358736,49.94
3094.3924418780366,2637.2685267630623,0.8174423397117834,63.13961618151015,85.91108762025779,8.03635122302836,49.94
3151.5799418780366,2680.5987269583748,-0.05194504885781226,62.79945962633437,88.1996389508242,8.238889643445201,50.94
3157.85263509408,2689.4197272437573,0.7725359326065935,62.65440469453909,88.22036675682897,8.240073677684972,50.94
3203.197605797205,2722.1929206031323,-0.30834425106980506,62.05167489717581,90.26876763573522,8.292064960877521,51.94
3209.3956111688494,2731.2208848880996,0.5214583802312689,61.90843253571049,90.2905180636091,8.293257231304166,51.94
3244.0826228875994,2754.5075059818496,0.022643804078708474,61.01291709381596,92.10096575648019,8.978801210892339,52.94
3250.1768048301014,2763.7187639678614,0.921111988833381,60.8707217562253,92.12419396375773,8.979977338223216,52.94
3305.601731587914,2805.2644182647364,0.05860381635533485,60.63855928063936,94.47127037977336,9.168438052820843,53.94
3311.658424625606,2814.712703015846,0.9760393474685394,60.49530147320329,94.49442464241699,9.169621504483082,53.94
3354.4644548990436,2845.013240125221,-0.029301934050963874,59.963708150449385,96.57978230843261,9.27722782429741,54.94
3360.453721505552,2854.672431222869,0.8990168327610535,59.82162397972058,96.60403964453239,9.278419793061962,54.94
3395.557481271177,2878.138739816619,0.2004546505792283,59.055319963607296,98.50482699804802,9.731065735681396,55.94
3401.4559150805403,2887.990465517596,1.1741379776636087,58.91335622365952,98.52968702149072,9.732219242713876,55.94
3445.672589885228,2919.410631533221,0.1558290216766396,58.47556630666733,100.68875989746728,9.804813793926124,56.94
3451.51303653895,2929.4807961522865,1.1368889059316065,58.33336676777328,100.71453248383966,9.805970803650833,56.94
3482.23178653895,2948.858359628849,0.014650773610902335,57.58185614765609,102.59700166108576,9.84343648406701,57.94
3487.982959860686,2959.119362399517,0.9995717605560146,57.44161028706695,102.62305375227446,9.844591161143834,57.94
3512.2321053684987,2972.6485372042043,0.12453402801265068,56.55366320454742,104.38477250227446,10.158636248475588,58.94
3517.880490536813,2983.0883333968327,1.1409936421916118,56.41404016173823,104.41115135029338,10.159828227138393,58.94
3546.5629856540004,3000.3009798812077,-0.41022099316476385,55.81186731017573,106.36195701435588,9.763920915548681,59.94
3552.137255923426,3010.9384836817962,0.5667730424630726,55.673538078339995,106.38811899741178,9.765124803694619,59.94
