quaternion (w),quaternion (x),quaternion (y),quaternion (z),gyroscope bias (x),gyroscope bias (y),gyroscope bias (z),magnetometer bias (x),magnetometer bias (y),magnetometer bias (z),time
-0.3669734918965779,-0.07291285347530796,-0.027480749045885256,-0.926962232496663,-9.171172677653312e-05,-0.0006668800379510752,-3.600143738212214e-05,-1.386693385167204e-06,-2.750171864869944e-05,1.2099971384621366e-06,43.94
-0.38218850817105976,-0.07291287963566702,-0.0253271558894024,-0.920855141365768,-6.500332853977728e-05,-0.0008591734241313615,-4.210500788899812e-05,-4.1419922006062164e-07,-3.214068417532412e-05,1.258145323490908e-06,44.94
-0.38218527295786114,-0.07287757451130568,-0.02538198236273613,-0.9208577692775428,-6.500332853977728e-05,-0.0008591734241313615,-4.210500788899812e-05,-4.1419922006062164e-07,-3.214068417532412e-05,1.258145323490908e-06,44.94
-0.3900928770584816,-0.07304735186090582,-0.023922310813180192,-0.9175616353682748,-2.386450619944567e-05,-0.0010710170288898183,-4.7885764869550454e-05,5.859964176465324e-07,-3.6740903876679264e-05,1.2959906698024683e-06,45.94
-0.3900698188289034,-0.07303871011896165,-0.02392074430300527,-0.9175721667830466,-2.386450619944567e-05,-0.0010710170288898183,-4.7885764869550454e-05,5.859964176465324e-07,-3.6740903876679264e-05,1.2959906698024683e-06,45.94
-0.3942954766215425,-0.07311979992128571,-0.022785562116001284,-0.9157867601872826,3.2361768249784566e-05,-0.001304855939649544,-5.338901300879414e-05,1.606325308838718e-06,-4.13460333677874e-05,1.3262949130523299e-06,46.94
-0.39426720694280193,-0.07305759272454997,-0.022781332370405374,-0.9158040011761494,3.2361768249784566e-05,-0.001304855939649544,-5.338901300879414e-05,1.606325308838718e-06,-4.13460333677874e-05,1.3262949130523299e-06,46.94
-0.3956248709597273,-0.07335392916500945,-0.022086982377972783,-0.9152116300417018,0.00010303352431799759,-0.0015556639623616772,-5.85599480989824e-05,2.618228384870857e-06,-4.589346633730635e-05,1.3521946336969098e-06,47.94
-0.39568151642251825,-0.07327038601637492,-0.02220036550306353,-0.9151910903555158,0.00010303352431799759,-0.0015556639623616772,-5.85599480989824e-05,2.618228384870857e-06,-4.589346633730635e-05,1.3521946336969098e-06,47.94
-0.3967365501669034,-0.07323235631940865,-0.021218566427792417,-0.9147605720560548,0.0001890546085083794,-0.0018295428866959699,-6.346230647036583e-05,3.642663590856259e-06,-5.046861071838335e-05,1.373233557439709e-06,48.952
-0.39670086740350635,-0.07314568073053274,-0.021266737097080986,-0.9147818631154732,0.0001890546085083794,-0.0018295428866959699,-6.346230647036583e-05,3.642663590856259e-06,-5.046861071838335e-05,1.373233557439709e-06,48.952
-0.398535399817201,-0.07273009314609032,-0.020262740281725703,-0.914040092118382,0.00029178966489155813,-0.002131332116332126,-6.812007867200392e-05,4.699448645623399e-06,-5.5126903854076315e-05,1.3892801517348075e-06,49.94
-0.3986169088862571,-0.07260638000875042,-0.02036888204577567,-0.9140120251813953,0.00029178966489155813,-0.002131332116332126,-6.812007867200392e-05,4.699448645623399e-06,-5.5126903854076315e-05,1.3892801517348075e-06,49.94
-0.398301592316114,-0.07274913522357354,-0.019820118034211468,-0.9141501888660202,0.000406082523185201,-0.0024432822986856662,-7.239013756525238e-05,5.731615747622959e-06,-5.967693901554571e-05,1.402537875695754e-06,50.94
-0.39825082903808007,-0.07261112653594345,-0.019839283850872785,-0.9141828615162001,0.000406082523185201,-0.0024432822986856662,-7.239013756525238e-05,5.731615747622959e-06,-5.967693901554571e-05,1.402537875695754e-06,50.94
-0.39871135557032306,-0.07247802500306366,-0.019138351875400035,-0.9140076117398717,0.000535597780508491,-0.0027788355862890042,-7.636645471051026e-05,6.77550756944048e-06,-6.42592069298477e-05,1.4122578899622038e-06,51.94
-0.3987565907670424,-0.07236368972859433,-0.019131356303860477,-0.9139970836576471,0.000535597780508491,-0.0027788355862890042,-7.636645471051026e-05,6.77550756944048e-06,-6.42592069298477e-05,1.4122578899622038e-06,51.94
-0.39956196001310673,-0.07209961919009159,-0.018482372374520332,-0.9136795318570609,0.0006803690395714295,-0.0031383022958193165,-8.004107472276086e-05,7.835966797266629e-06,-6.887621202997756e-05,1.418167776990954e-06,52.94
-0.3995843190291992,-0.0718618622574281,-0.01850698176844489,-0.9136879863305022,0.0006803690395714295,-0.0031383022958193165,-8.004107472276086e-05,7.835966797266629e-06,-6.887621202997756e-05,1.418167776990954e-06,52.94
-0.3985648178823572,-0.0721970599834118,-0.01829834125399027,-0.9141109567134111,0.0008348895078279669,-0.003504725397330109,-8.339773472131558e-05,8.866411113907927e-06,-7.338004163775271e-05,1.4232862090811231e-06,53.94
-0.3985081503623469,-0.07197785168185758,-0.018264936502127092,-0.9141536167716119,0.0008348895078279669,-0.003504725397330109,-8.339773472131558e-05,8.866411113907927e-06,-7.338004163775271e-05,1.4232862090811231e-06,53.94
-0.39849495520574846,-0.0719912511308923,-0.017787237192097596,-0.9141677333122459,0.001004788657431934,-0.0038956884467346215,-8.647215810460579e-05,9.908387589188128e-06,-7.79224931237214e-05,1.4258168707114827e-06,54.94
-0.39848702429473315,-0.07186080740818342,-0.017876585193820356,-0.9141797107402794,0.001004788657431934,-0.0038956884467346215,-8.647215810460579e-05,9.908387589188128e-06,-7.79224931237214e-05,1.4258168707114827e-06,54.94
-0.3988155149706422,-0.0717668846378372,-0.017426558258919266,-0.9140525227553006,0.001190193071153021,-0.004309988321172553,-8.936993405236606e-05,1.0962458882439205e-05,-8.249269509488918e-05,1.4263694920540823e-06,55.94
-0.39890379933687464,-0.0716042766787809,-0.01740801066865235,-0.9140271044123776,0.001190193071153021,-0.004309988321172553,-8.936993405236606e-05,1.0962458882439205e-05,-8.249269509488918e-05,1.4263694920540823e-06,55.94
-0.3984115828774389,-0.07175789588388078,-0.01716237127759577,-0.9142343616488837,0.001386027084481331,-0.004736314928774927,-9.197454400097888e-05,1.2002762074517514e-05,-8.700482516871307e-05,1.4255500659638767e-06,56.94
-0.3984525937642579,-0.07159422469563546,-0.01719357641072589,-0.9142287342033035,0.001386027084481331,-0.004736314928774927,-9.197454400097888e-05,1.2002762074517514e-05,-8.700482516871307e-05,1.4255500659638767e-06,56.94
-0.39885678761632015,-0.0714418425687125,-0.016654431783064753,-0.9140743711562863,0.0015968063748786777,-0.005187745378773317,-9.429435992794016e-05,1.3059878843136924e-05,-9.155783157356847e-05,1.4216443913360307e-06,57.94
-0.39890770552251714,-0.07112792299781275,-0.016798399535342446,-0.914073998545976,0.0015968063748786777,-0.005187745378773317,-9.429435992794016e-05,1.3059878843136924e-05,-9.155783157356847e-05,1.4216443913360307e-06,57.94
-0.3994754136818598,-0.07100132513406367,-0.01623222095344454,-0.9138461143408296,0.0018207554786185164,-0.00565937149870307,-9.639961731317647e-05,1.412871012664646e-05,-9.612343409755685e-05,1.4158410526297875e-06,58.94
-0.3994681929780093,-0.07065975553411849,-0.01627721363526522,-0.9138749444333258,0.0018207554786185164,-0.00565937149870307,-9.639961731317647e-05,1.412871012664646e-05,-9.612343409755685e-05,1.4158410526297875e-06,58.94
-0.39954996607186927,-0.07074861097516312,-0.015774367724053506,-0.9138411393562667,0.002052481754186196,-0.006141868781811066,-9.814865641430645e-05,1.518988987578369e-05,-0.00010063731857677189,1.4075877192696444e-06,59.94
-0.3994432543812447,-0.07036473068563588,-0.01582812090169186,-0.9139164960725787,0.002052481754186196,-0.006141868781811066,-9.814865641430645e-05,1.518988987578369e-05,-0.00010063731857677189,1.4075877192696444e-06,59.94
-0.4010730079424803,-0.0700845644532082,-0.015210069692414707,-0.9132344988584953,0.0023030098688847965,-0.006658803304311663,-9.966287338846494e-05,1.62918179397013e-05,-0.00010525543889881273,1.3957826498671672e-06,60.94
-0.4010231813090006,-0.06981723305556056,-0.015199461629793869,-0.913277032661743,0.0023030098688847965,-0.006658803304311663,-9.966287338846494e-05,1.62918179397013e-05,-0.00010525543889881273,1.3957826498671672e-06,60.94
-0.4002696389170427,-0.07029073176165179,-0.01523441612371326,-0.9135706550426199,0.0025558957330006414,-0.007170161927889134,-0.00010100506604378117,1.7355087988436726e-05,-0.00010972397164260613,1.3844007356918703e-06,61.94
-0.40029951643472966,-0.06988762173095596,-0.015210968708395054,-0.913588881227144,0.0025558957330006414,-0.007170161927889134,-0.00010100506604378117,1.7355087988436726e-05,-0.00010972397164260613,1.3844007356918703e-06,61.94
-0.40057497023068267,-0.07002037692745915,-0.014883632498206375,-0.9134633640837942,0.002824205140674818,-0.00770777104019265,-0.00010207747867263471,1.8436700240993365e-05,-0.00011424001264219174,1.3706855931888085e-06,62.94
-0.4004936503219523,-0.06965424793554938,-0.014964971268322897,-0.9135256818673841,0.002824205140674818,-0.00770777104019265,-0.00010207747867263471,1.8436700240993365e-05,-0.00011424001264219174,1.3706855931888085e-06,62.94
-0.4021328750349239,-0.06944365376819732,-0.014756685008765895,-0.9128247203132818,0.00311798420746878,-0.008285844319617394,-0.00010323244756961402,1.9568627949834027e-05,-0.00011889468867401045,1.352605237507328e-06,63.94
-0.4030029662979482,-0.06399194719868369,-0.016643746126133178,-0.9128070034589264,0.00311798420746878,-0.008285844319617394,-0.00010323244756961402,1.9568627949834027e-05,-0.00011889468867401045,1.352605237507328e-06,63.94
-0.40028077795181655,-0.0674309592047618,-0.01777235183088163,-0.9137354694075378,0.0034390876219642305,-0.008841433995176794,-0.0001078019888827151,2.06974431531582e-05,-0.00012346873470994062,1.3576193884538398e-06,64.94
