quaternion (w),quaternion (x),quaternion (y),quaternion (z),gyroscope bias (x),gyroscope bias (y),gyroscope bias (z),magnetometer bias (x),magnetometer bias (y),magnetometer bias (z),time
0.7071051205724134,-0.001568226825484344,-0.0014958497333079153,5.4566631884713955e-06,0.0,0.0,0.0,0.0,0.0,0.0,11.86
0.0015029005257797537,-0.6925956686154837,-0.7213185888717624,0.0029110913984531452,0.0,0.0,0.0,0.0,0.0,0.0,11.863999999999999
0.0014999158453900005,-0.6925952761005469,-0.721318985099066,0.0029078361916232746,0.0,0.0,0.0,0.0,0.0,0.0,11.867999999999999
0.0014969582194368767,-0.6925948848056261,-0.7213193799615925,0.002904608234264562,0.0,0.0,0.0,0.0,0.0,0.0,11.871999999999998
0.001493974177788733,-0.6925948387763099,-0.7213194420849754,0.0029016911953716994,0.0,0.0,0.0,0.0,0.0,0.0,11.875999999999998
0.0014918629569157854,-0.6926036630585088,-0.7213109855263092,0.0028986931396388325,0.0,0.0,0.0,0.0,0.0,0.0,11.879999999999997
0.0014924455699771818,-0.692607111497418,-0.7213076919254052,0.002894007371836061,0.0,0.0,0.0,0.0,0.0,0.0,11.883999999999997
0.0014967287626533065,-0.692641227947656,-0.7212749433220637,0.0028888208543016713,0.0,0.0,0.0,0.0,0.0,0.0,11.887999999999996
0.0014994822338409049,-0.6926724405918749,-0.7212449837005458,0.002883588792679169,0.0,0.0,0.0,0.0,0.0,0.0,11.891999999999996
0.0015027704735360004,-0.6926985967801301,-0.7212198791706118,0.0028777749860753564,0.0,0.0,0.0,0.0,0.0,0.0,11.895999999999995
0.0015029795846141028,-0.692680428552423,-0.7212373435612476,0.002873883351001336,0.0,0.0,0.0,0.0,0.0,0.0,11.899999999999995
0.0015005894799067574,-0.6926701414726518,-0.7212472284627107,0.002873809027684973,0.0,0.0,0.0,0.0,0.0,0.0,11.903999999999995
0.0014982736130388285,-0.6926595800758654,-0.7212573734436473,0.0028744666422829586,0.0,0.0,0.0,0.0,0.0,0.0,11.907999999999994
0.0014978416835227948,-0.6926454787642013,-0.7212709254222801,0.00287216961360173,0.0,0.0,0.0,0.0,0.0,0.0,11.911999999999994
0.0015000309175337713,-0.6926311289119377,-0.7212847057297326,0.0028709667003555856,0.0,0.0,0.0,0.0,0.0,0.0,11.915999999999993
0.0015022815289965534,-0.6926039746276514,-0.7213107739939316,0.002871376057311492,0.0,0.0,0.0,0.0,0.0,0.0,11.919999999999993
0.0015037907255087946,-0.6925785235898011,-0.7213352125649224,0.002870259490602793,0.0,0.0,0.0,0.0,0.0,0.0,11.923999999999992
0.0015011458531212715,-0.6925880991970452,-0.721326033508764,0.0028678902114605076,0.0,0.0,0.0,0.0,0.0,0.0,11.927999999999992
