position (x) [m],position (y) [m],position (z) [m],velocity (x) [m/s],velocity (y) [m/s],velocity (z) [m/s],time
0.0,0.0,0.0,0.0,0.0,0.0,11.863999999999999
2.1238789928019812e-07,-7.950011024943697e-07,0.08923228836831594,0.00010619394964009907,-0.00039750055124718485,1.622438710979377e-05,11.867999999999999
6.681571563017568e-08,-2.9223518557997047e-06,0.08923136643750003,-0.0001789800414651103,-0.0006661748254054827,1.4417874447378744e-05,11.871999999999998
-4.3724764060174305e-07,-6.37809121255586e-06,0.08923136644710158,-7.305163665084907e-05,-0.001061694852972595,1.559734432153322e-05,11.875999999999998
-1.3001094959934162e-06,-1.116184694832686e-05,0.08923136644703754,-0.0003583792910449875,-0.0013301830149129055,1.6690397103494416e-05,11.879999999999997
-2.522928719316098e-06,-1.7273178128976252e-05,0.08923136644703206,-0.00025303032061635335,-0.001725482575411791,1.7525132432667757e-05,11.883999999999997
-4.104751103522389e-06,-2.4712271687825635e-05,0.08923136644703566,-0.0005378808714867921,-0.0019940642040129006,1.814868593316075e-05,11.887999999999996
-6.044287028550116e-06,-3.347957298744225e-05,0.08923136644696933,-0.00043188709102707113,-0.0023895864457954084,1.8903021719334774e-05,11.891999999999996
-8.339042934558833e-06,-4.357587510340585e-05,0.0892313664469353,-0.0007154908619772871,-0.00265856461218639,1.9637723499960197e-05,11.895999999999995
-1.098752799309481e-05,-5.500153308062954e-05,0.08923136644693146,-0.0006087516672907023,-0.003054264376425455,2.0237939303260507e-05,11.899999999999995
-1.398808924323594e-05,-6.775701585016077e-05,0.08923136644692431,-0.0008915289577798625,-0.0033234770083401537,2.0745600448145424e-05,11.903999999999995
-1.7342102732082086e-05,-8.184262006562276e-05,0.08923136644693797,-0.0007854777866432099,-0.0037193250993908383,2.109588211887179e-05,11.907999999999994
-2.1050674845387298e-05,-9.725929221171797e-05,0.08923136644693933,-0.001068808270009397,-0.003989010973656767,2.1370277531546112e-05,11.911999999999994
-2.5115054132505057e-05,-0.00011400741887058624,0.08923136644694075,-0.0009633813735494828,-0.0043850523557773715,2.1583889538411518e-05,11.915999999999993
-2.9534365210221896e-05,-0.00013208849707912763,0.08923136644696557,-0.0012462741653089368,-0.004655486748493328,2.1654228451951997e-05,11.919999999999993
-3.4309124153146015e-05,-0.00015150430255164534,0.08923136644693258,-0.001141105306153122,-0.00505241598776552,2.184405953594011e-05,11.923999999999992
-3.943853260512401e-05,-0.0001722566014117864,0.08923136644689685,-0.0014235989198358762,-0.005323733442305006,2.214055636503902e-05,11.927999999999992
-4.492366661787785e-05,-0.00019434534170563618,0.08923136644686618,-0.0013189680865410445,-0.005720636704619893,2.250175442874038e-05,11.931999999999992
-5.076425467714281e-05,-0.00021777022366121807,0.08923136644679716,-0.0016013259430914361,-0.0059918042731710525,2.306997060334132e-05,11.935999999999991
-5.696025798380143e-05,-0.0002425319068977959,0.08923136644674139,-0.0014966757102378757,-0.006389037345117851,2.3750226251195474e-05,11.93999999999999
-6.351157537722127e-05,-0.00026863204395387373,0.08923136644673592,-0.001778982986472041,-0.006661031182921064,2.4316537999250946e-05,11.94399999999999
-7.041897421002029e-05,-0.0002960714467320082,0.08923136644672928,-0.0016747164299274696,-0.007058670206146147,2.4796447109083556e-05,11.94799999999999
-7.768131762070921e-05,-0.00032485074462504897,0.08923136644678503,-0.001956455275416994,-0.0073309787403742456,2.4954832950940815e-05,11.95199999999999
-8.52996436010986e-05,-0.00035496959581031245,0.08923136644688262,-0.0018527077147777033,-0.007728446852257497,2.4686736160462772e-05,11.955999999999989
-9.327392231732395e-05,-0.00038642799552348825,0.0892313664469485,-0.0021344316433349747,-0.008000753004330417,2.4205681488206927e-05,11.959999999999988
-0.00010160515350830944,-0.00041922616414277004,0.08923136644695098,-0.002031183952157771,-0.008398331305310475,2.3810766195472856e-05,11.963999999999988
-0.0001102935160694259,-0.00045336487587651394,0.08923136644693375,-0.0023129973284004624,-0.008671024561561482,2.3564630093709966e-05,11.967999999999988
-0.00011934011879258541,-0.0004888437206640122,0.08923136644691892,-0.0022103040331792915,-0.009068397832187618,2.3427584666996696e-05,11.971999999999987
-0.0001287430220315738,-0.0005256634803673382,0.0892313664468863,-0.002491147586314898,-0.00934148201947542,2.344992849091081e-05,11.975999999999987
-0.00013850226953093342,-0.0005638248359128904,0.0892313664467886,-0.00238847616336491,-0.00973919575330067,2.3863143660851846e-05,11.979999999999986
-0.0001486176494250973,-0.0006033278754757882,0.08923136644673357,-0.00266921378371704,-0.010012324028148207,2.441631141384081e-05,11.983999999999986
-0.0001590890259756039,-0.0006441728336007964,0.08923136644675886,-0.0025664744915362475,-0.01041015503435592,2.4756469002376528e-05,11.987999999999985
-0.0001699158727210267,-0.0006863601808714633,0.08923136644680188,-0.002846948881175146,-0.010683518600977528,2.485458367210692e-05,11.991999999999985
-0.00018110015690842577,-0.0007298881691248587,0.08923136644678632,-0.002745193212524396,-0.011080475525720177,2.499611759368539e-05,11.995999999999984
-0.00019264330468048407,-0.0007747549236906803,0.08923136644673685,-0.0030263806735047476,-0.011352901757190595,2.5309394755713992e-05,11.999999999999984
-0.00020454774133887442,-0.0008209600270914457,0.08923136644669104,-0.002925837655690426,-0.011749649943192119,2.5745456836444323e-05,12.003999999999984
-0.00021681326714752358,-0.000868504112643333,0.08923136644671867,-0.003206925248634161,-0.01202239283275157,2.5982516495215625e-05,12.007999999999983
-0.00022944098473592705,-0.0009173879349454041,0.08923136644670342,-0.003106933545567576,-0.012419518318283957,2.623385285846477e-05,12.011999999999983
-0.0002424314549742041,-0.0009676143774055808,0.08923136644666178,-0.0033883015735709557,-0.01269370291180441,2.6603351669096915e-05,12.015999999999982
-0.00025578556699784225,-0.0010191856980847742,0.08923136644663296,-0.003288754438248114,-0.01309195742779228,2.701559633999571e-05,12.019999999999982
-0.00026950227663698315,-0.0010721022385637123,0.08923136644658924,-0.003569600381322335,-0.013366312811676839,2.7522188186849633e-05,12.023999999999981
-0.0002835817475149166,-0.0011263629712332595,0.08923136644655819,-0.0034701350576443833,-0.013764053523096738,2.8053205217927894e-05,12.027999999999981
-0.00029802401500475756,-0.001181967660308979,0.08923136644655824,-0.00375099868727609,-0.014038291014762998,2.8477834717094942e-05,12.03199999999998
-0.0003128296494825582,-0.001238915908945432,0.08923136644655505,-0.0036518185516242435,-0.01443583330346357,2.883037259536772e-05,12.03599999999998
-0.0003279978900178971,-0.0012972080216285577,0.08923136644656064,-0.003932301716045218,-0.01471022303809917,2.908977550561456e-05,12.03999999999998
-0.00034352908147523625,-0.0013568441241614982,0.08923136644650961,-0.0038332940126243314,-0.015107828228371081,2.9503809273578227e-05,12.04399999999998
-0.0003594223013490671,-0.0014178240632889245,0.08923136644646214,-0.0041133159242911,-0.015382141335342084,3.002710190268893e-05,12.047999999999979
-0.00037567678830758384,-0.0014801476208007285,0.08923136644644929,-0.004013927554967264,-0.015779637420559923,3.0497792390299053e-05,12.051999999999978
-0.00039229067316020797,-0.0015438150652708946,0.08923136644644235,-0.00429301487134479,-0.016054084814523074,3.0902270945624515e-05,12.055999999999978
-0.00040926345291100204,-0.0016088259126854703,0.08923136644637929,-0.004193375004052254,-0.016451338892764816,3.148114776599663e-05,12.059999999999977
-0.0004265942429517213,-0.0016751792101209477,0.08923136644632196,-0.004472020016307393,-0.016725309824973916,3.2176143039383105e-05,12.063999999999977
-0.0004442840458563739,-0.001742873356354473,0.08923136644627247,-0.004372881436018896,-0.017121763291788734,3.2932406310701856e-05,12.067999999999977
-0.0004623321257453522,-0.0018119085258931362,0.08923136644624462,-0.004651158508470257,-0.0173958214775428,3.365010433374104e-05,12.071999999999976
-0.00048073722366092703,-0.0018822850055298613,0.08923136644629366,-0.004551390449317151,-0.017792418340819804,3.4025784877003126e-05,12.075999999999976
